Date,Temperature,Humidity,Precipitation
2023-01-01,5.0,80,0.0
2023-02-01,7.5,70,0.1
2023-03-01,10.0,65,0.0
2023-04-01,15.0,55,0.2
2023-05-01,20.0,45,0.0
2023-06-01,25.0,40,0.0
2023-07-01,30.0,35,0.0
2023-08-01,33.5,30,0.3
2023-09-01,28.0,40,0.0
2023-10-01,18.0,50,0.0
2023-11-01,12.0,60,0.0
2023-12-01,6.0,75,0.1
2023-01-01,5.0,80,0.0
2023-01-01,5.0,80,0.0
2023-01-01,5.0,80,0.0
2023-01-01,5.0,80,0.0
2023-01-01,5.0,80,0.0
2023-01-01,5.0,80,0.0
2023-01-01,5.0,80,0.0
2023-01-01,5.0,80,0.0
2023-01-01,5.0,80,0.0
2023-01-01,5.0,80,0.0
2023-08-01,33.5,30,0.3
2023-08-01,33.5,30,0.3
2023-08-01,33.5,30,0.3
2023-08-01,33.5,30,0.3
2023-08-01,33.5,30,0.3
2023-08-01,33.5,30,0.3
2023-08-01,33.5,30,0.3
2023-08-01,33.5,30,0.3
2023-08-01,33.5,30,0.3
2023-08-01,33.5,30,0.3